id,ean,title,title_gr,brand,cat1,cat2,cat3,subcategory,unit_basis,pack_size_ml,organic,vegan,vegetarian,gluten_free,lactose_free,kosher,meat_free,image_url,first_seen,last_seen,delisted_on
744532,5291264000010,The Three Bakers Pitta Satzis with Honey 170 g,The Three Bakers Πίττα της Σάτζιης με Μέλι 170 g,The Three Bakers,Bakery,"Cakes, Muffins & Biscuits",,"Cakes, Muffins & Biscuits",kg,0,0,0,1,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/744532.jpg,2026-09-12,2026-09-18,
744534,8718114717029,Hellmann's Mayonnaise 215 g,Hellmann's Μαγιονέζα 215 g,Hellmann's,Food Cupboard,"Oils, Vinegars, Sauces & Dressings",Mayonnaise,Mayonnaise,L,0,0,0,1,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/744534.jpg,2026-09-12,2026-09-18,
744535,8718114717081,Hellmann's Mayonnaise 430 g,Hellmann's Μαγιονέζα 430 g,Hellmann's,Food Cupboard,"Oils, Vinegars, Sauces & Dressings",Mayonnaise,Mayonnaise,L,0,0,0,1,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/744535.jpg,2026-09-12,2026-09-18,
744619,5291848000023,Kyriakides Prepacked White Mushrooms 500 g,Kyriakides Συσκευασμένα Λευκά Mανιτάρια 500 g,Kyriakides,Fresh Food,Fresh Vegetables,Mushrooms,Mushrooms,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/744619.jpg,2026-09-12,2026-09-18,
744620,5291848000030,Kyriakides Prepacked Fresh Sliced Mushrooms 500 g,Kyriakides Συσκευασμένα Φρέσκα Mανιτάρια Τεμαχισμένα 500 g,Kyriakides,Fresh Food,Fresh Vegetables,Mushrooms,Mushrooms,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/744620.jpg,2026-09-12,2026-09-18,
744621,5291848000047,Kyriakides Prepacked Fresh Portobello Mushrooms 400 g,Kyriakides Kyriakides Συσκευασμένα Φρέσκα Mανιτάρια Πορτομπέλο 400 g,Kyriakides,Fresh Food,Fresh Vegetables,Mushrooms,Mushrooms,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/744621.jpg,2026-09-12,2026-09-18,
744622,5291848000016,Kyriakides Prepacked Fresh Oyster Mushrooms 350 g,Kyriakides Συσκευασμένα Φρέσκα Mανιτάρια Πλευρώτους 350 g,Kyriakides,Fresh Food,Fresh Vegetables,Mushrooms,Mushrooms,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/744622.jpg,2026-09-12,2026-09-18,
744633,5290049013115,Mon Ami Panna Cotta Mix with Strawberry Flavoured Syrup 180 g,Mon Ami Μείγμα για Panna Cotta με Έτοιμο Σιρόπι Γεύση Φράουλα 180 g,Mon Ami,Food Cupboard,Home Baking,Baking,Cake Mix,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/744633.jpg,2026-09-12,2026-09-18,
744738,7702018949977,Gillette Blue3 Plus Comfort Disposable Razors 6 Pieces,Gillette Blue3 Plus Comfort Ξυραφάκια Μίας Χρήσης 6 Pieces,Gillette,Personal Care,Men's Toiletries,Shaving,Shaving,pc,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/744738.jpg,2026-09-12,2026-09-18,
744743,4015000536677,Fa Shower Cream Soft Cacao Cream & Oil 250 ml,Fa Αφροντούς με Άρωμα Κακάο 250 ml,Fa,Personal Care,"Shower, Bath & Soap",Shower Gel,Shower Gel,L,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/744743.jpg,2026-09-12,2026-09-18,
744836,5290636000313,Elenas Rusks With Tahini & Carob Syrup 350 g,Έλενας Μπουκιές Με Ταχίνι & Χαρουπόμελο 350 g,Elenas,Bakery,Breakfast,"Bread Sticks, Rice Cakes & Rusks",Crispbread & Rusks,kg,0,0,0,1,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/744836.jpg,2026-09-12,2026-09-18,
744976,5011321772335,Old Spice Original After Shave Lotion 100 ml,Old Spice Original Λοσιόν για Μετά το Ξύρισμα 100 ml,Old Spice,Personal Care,Men's Toiletries,Shaving,Shaving,L,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/744976.jpg,2026-09-12,2026-09-18,
744993,59036388,Colgate Pro Gum Health Dental Floss 50 m,Colgate Pro Gum Health Οδοντικό Νήμα 50 m,Colgate,Personal Care,Oral Care,Dental Accessories & Floss,Dental Accessories & Floss,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/744993.jpg,2026-09-12,2026-09-18,
745280,3229820800042,Bjorg Bio Tofu Nature Veggie 2x200 g,Bjorg Οργανικό Τοφού Νηστίσιμο 2x200 g,Bjorg,Specialized Nutrition,Vegan,,Vegan,kg,0,1,0,1,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/745280.jpg,2026-09-12,2026-09-18,
745418,5010287377035,Dr. Beckmann Roll on Stain Cleaner 75 ml,Dr. Beckmann Καθαριστικό Λεκέδων Roll on 75 ml,Dr. Beckmann,Laundry,Stain Remover & Colour Care,,Stain Remover & Colour Care,L,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/745418.jpg,2026-09-12,2026-09-18,
