station_id,brand,name,address,phone,area,district,first_seen,last_seen
ae7fb39a6ec9,EKO,D S KOMNINAKIS FUELS LTD,Κωνσταντινουπόλεως 85 Τ.Κ 7041,24333038,Δρόμος Καλαβασού - Ζυγίου,Larnaca,2026-09-13,2026-09-13
de92271f6ac9,EKO,K.L.D. PETROLEUM LIMITED,Δεκέλεια Τ.Κ,24723251,Δεκέλεια,Larnaca,2026-09-13,2026-09-13
dce42f6faf2a,EKO,LESONI PETROLIUM LTD,Αρχ. Μακαρίου Γ΄ 18 (Παλαιός Δρόμος Λάρνακας-Λεμεσού) Τ.Κ 7571,24432522,Αγγλισίδες,Larnaca,2026-09-13,2026-09-13
b2f690bf5cb7,EKO,PETROU ENERGY SOLUTION LIMITED,Κυριάκου Μάτση 100 Τ.Κ 7102,24532888,Αραδίππου,Larnaca,2026-09-13,2026-09-13
d82e742710ef,EKO,R.A.M. OIL CYPRUS LIMITED,"28ης Οκτωβρίου 12, Κόρνος Τ.Κ 7640",22533238,Κόρνος,Larnaca,2026-09-13,2026-09-13
565dd6821200,EKO,R.A.M. OIL CYPRUS LIMITED,Λεωφ. Αρχ. Μακαρίου Γ΄ 35 Τ.Κ 6017,24652743,Λάρνακα,Larnaca,2026-09-13,2026-09-13
0effbc30de91,EKO,R.A.M. OIL CYPRUS LIMITED,Λεωφ. Αρχ. Μακαρίου Γ΄ 20 Τ.Κ 7080,24661133,Πύλα,Larnaca,2026-09-13,2026-09-13
b109dbc73edf,EKO,R.A.M. OIL CYPRUS LIMITED,Λεωφ. Αρτέμιδος 29 Τ.Κ 6025,24652131,Λάρνακα,Larnaca,2026-09-13,2026-09-13
66d305f4af2e,EKO,R.A.M. OIL CYPRUS LIMITED,"Λεώφ. Δημητρίου Παπανικολή 6, Άγιοι Ανάργυροι Τ.Κ 6053",24668200,Λάρνακα,Larnaca,2026-09-13,2026-09-13
b20e8e600357,EKO,R.A.M. OIL CYPRUS LIMITED,Λεωφ. Αρχ. Μακαρίου Γ΄ 82 Τ.Κ 7550,24424020,Κίτι,Larnaca,2026-09-13,2026-09-13
624124474669,EKO,R.A.M. OIL CYPRUS LIMITED,Λεωφ. Γ.Γρίβα Διγενή 7 Τ.Κ 6010,24664300,Λάρνακα,Larnaca,2026-09-13,2026-09-13
17ee7f0dd4f0,EKO,R.A.M. OIL CYPRUS LIMITED,Λεωφ. Σπύρου Κυπριανού 51 Τ.Κ 7040,24648082,Ορόκλινη,Larnaca,2026-09-13,2026-09-13
462ee152ff3b,EKO,R.A.M. OIL CYPRUS LIMITED,Αγίου Λουκά 7 Τ.Κ 7731,24333172,Σκαρίνου,Larnaca,2026-09-13,2026-09-13
71cfa14de08b,EKO,R.A.M. OIL CYPRUS LIMITED,Λεωφ. Τάσσου Παπαδόπουλου (δρόμος Λάρνακας - Δεκέλειας) Τ.Κ 6019,24635023,Λάρνακα,Larnaca,2026-09-13,2026-09-13
47bdc6813569,EKO,ΒΑΣΟΣ ΜΑΤΩΛΗΣ ΛΙΜΙΤΕΔ,Δρόμος προς Δασάκι Άχνας Τ.Κ 7510,24723940,Περιφερειακός Δρόμος Ξυλοτύμπου,Larnaca,2026-09-13,2026-09-13
f17f81a488ad,EKO,Κ. ΜΙΧΑΗΛΑΣ & ΣΙΑ ΛΙΜΙΤΕΔ,Ελευθερίας 27 Τ.Κ 7102,24531780,Αραδίππου,Larnaca,2026-09-13,2026-09-13
0a9aabc9ae21,EKO,Κ. ΜΙΧΑΗΛΑΣ & ΣΙΑ ΛΙΜΙΤΕΔ,Λεωφ. Αμμοχώστου Τ.Κ 7643,24360270,Καλό Χωριό Λάρνακας,Larnaca,2026-09-13,2026-09-13
3e638c4e5fc9,EKO,ΚΥΡΙΑΚΟΣ Π. ΠΟΙΗΤΗΣ ΛΙΜΙΤΕΔ,Θεοκρίτου 57 Τ.Κ 7600,24523240,Αθιένου,Larnaca,2026-09-13,2026-09-13
0eb54c313653,EKO,ΝΙΚΟΣ ΓΕΡΑΣΙΜΟΥ ΛΙΜΙΤΕΔ,Αναστάσιου Μανώλη 77 Τ.Κ 7520,24725367,Ξυλοφάγου,Larnaca,2026-09-13,2026-09-13
73f4fd3d41f8,ENI,KALL-ENI CITY GAS STATION LTD,Λεωφ. Γ.Γρίβα Διγενή 4 Τ.Κ 6010,24622133,Λάρνακα,Larnaca,2026-09-13,2026-09-13
91c473332d72,ENI,M.S. PETROLEUM STATION LIMITED,Λεωφ. Αμμοχώστου (Δρόμος Λάρνακας-Δεκέλειας) Τ.Κ 6019,24632200,Δρόμος Λάρνακας - Δεκέλειας,Larnaca,2026-09-13,2026-09-13
3d365e518577,ESSO,DEANSON LIMITED,Θεόκριτου 67 Τ.Κ 7600,24522336,Αθιένου,Larnaca,2026-09-13,2026-09-13
117c3b6f97d9,ESSO,P2 PETROLEUM LIMITED,Λεωφ. Φανερωμένης Τ.Κ 6035,24620506,Λάρνακα,Larnaca,2026-09-13,2026-09-13
fe4873a2e4a6,ESSO,TRIKENO LTD,Λεωφ.Γ.Γρίβα Διγενή 43 Τ.Κ 6045,24652200,Λάρνακα,Larnaca,2026-09-13,2026-09-13
a4ce4b453fac,ESSO,ΘΕΟΠΕΤΡΟ ΛΙΜΙΤΕΔ,Λεωφ. Αρχ. Μακαρίου Γ' 35 Τ.Κ 7550,24828666,Κίτι,Larnaca,2026-09-13,2026-09-13
adc2bba2a282,ESSO,Κ & Α ΑΝΔΡΕΟΥ ΛΙΜΙΤΕΔ,Λεωφόρος Λεμεσού 4 Τ.Κ 7647,22533633,Μοσφιλωτή,Larnaca,2026-09-13,2026-09-13
d3095d05dc1e,ESSO,Μ.Α.Ν.Ι. ΠΑΝΑΓΙΩΤΟΥ ΛΤΔ,Γιάννου Κρανιδιώτη 34 Τ.Κ 6051,24668111,Λάρνακα,Larnaca,2026-09-13,2026-09-13
55d0b50126da,FILL N GO,FILL N GO STATIONS LTD,Λεωφ. Λάρνακος 1 Τ.Κ 7648,22532828,Πυργά,Larnaca,2026-09-13,2026-09-13
f42c281a9496,PETROLINA,ANTONIS KKOULOS PETROL STATION LIMITED,Λεωφ. Αρχ. Μακαρίου Γ΄ 4 Τ.Κ 7550,24422132,Κίτι,Larnaca,2026-09-13,2026-09-13
f6f989575c60,PETROLINA,D&J PAPETTA PETROL STATION LTD,Αναστάσιου Μανώλη 54 Τ.Κ 7520,24824610,Ξυλοφάγου,Larnaca,2026-09-13,2026-09-13
a60171704519,PETROLINA,M.D.N. ITALOS FUELS LIMITED,Λεωφ. Ελλάδος 65 Τ.Κ 7101,24323063,Αραδίππου,Larnaca,2026-09-13,2026-09-13
66e87f05a350,PETROLINA,PETROLINA (HOLDINGS) PUBLIC LIMITED,Λεωφ. Αρχ. Μακαρίου Γ΄ 23 Τ.Κ 6017,24652949,Λάρνακα,Larnaca,2026-09-13,2026-09-13
0af9f8bfb4c1,PETROLINA,PETROLINA (HOLDINGS) PUBLIC LIMITED,"Γεώργιου Χ"" Χαραλάμπους 58 Τ.Κ 7700",24342417,Λεύκαρα,Larnaca,2026-09-13,2026-09-13
fc394b0b3c0a,PETROLINA,PETROLINA (HOLDINGS) PUBLIC LIMITED,Λεωφ. Γιώργου Χριστοδουλίδη (Νέο ΓΣΖ) Τ.Κ 6043,24532222,Λάρνακα,Larnaca,2026-09-13,2026-09-13
7ea7211d094c,PETROLINA,PETROLINA (HOLDINGS) PUBLIC LIMITED,Λεωφ. Σπ. Κυπριανού 66-68 Τ.Κ 6057,24661452,Λάρνακα,Larnaca,2026-09-13,2026-09-13
c7e92648a250,PETROLINA,PETROLINA (HOLDINGS) PUBLIC LIMITED,"Κιλκής 1, Πετρολίνα HQ Τ.Κ 6015",24848034,Λάρνακα,Larnaca,2026-09-13,2026-09-13
44624b1025cd,PETROLINA,PETROLINA (HOLDINGS) PUBLIC LIMITED,Λεωφ. Τάσσου Παπαδόπουλου 7 (δίπλα από πρώην Διυλιστήριο) Τ.Κ 6059,24668180,Λειβάδια,Larnaca,2026-09-13,2026-09-13
ce1eb1eb6a71,PETROLINA,PETROLINA (HOLDINGS) PUBLIC LIMITED,Διεθνές Αεροδρόμιο Λάρνακας Τ.Κ 6650,24651011,Λάρνακα,Larnaca,2026-09-13,2026-09-13
e743dc2607b2,PETROLINA,V. THEODOROU BRO PETROL STATION LTD,Αγίας Παρασκευής 46 Τ.Κ 7741,24322761,Χοιροκιτία,Larnaca,2026-09-13,2026-09-13
69f804f17a32,PETROLINA,Z. ΖΗΝΩΝΟΣ & ΥΙΟΙ ΛΤΔ,Διονυσίου Σολωμού 3 Τ.Κ 7741,24817478,Χοιροκιτία,Larnaca,2026-09-13,2026-09-13
84e85efa4053,PETROLINA,ΑΝΔΡΕΑΣ Β. ΓΕΩΡΓΙΟΥ ΛΤΔ,Δρόμος Ζυγίου-Μαζωτού Τ.Κ 7577,24432650,Μαζωτός,Larnaca,2026-09-13,2026-09-13
