key,station_id,fuel,price,first_seen,last_seen,delisted_on
293b8fa19bf7:diesel,293b8fa19bf7,diesel,1.909,2026-09-13,2026-09-14,
293b8fa19bf7:heating_oil,293b8fa19bf7,heating_oil,1.528,2026-09-13,2026-09-14,
293b8fa19bf7:kerosene,293b8fa19bf7,kerosene,1.435,2026-09-13,2026-09-14,
293b8fa19bf7:unleaded95,293b8fa19bf7,unleaded95,1.657,2026-09-13,2026-09-14,
293b8fa19bf7:unleaded98,293b8fa19bf7,unleaded98,1.699,2026-09-13,2026-09-14,
29adfa02acca:diesel,29adfa02acca,diesel,1.890,2026-09-13,2026-09-14,
29adfa02acca:heating_oil,29adfa02acca,heating_oil,1.538,2026-09-13,2026-09-14,
29adfa02acca:kerosene,29adfa02acca,kerosene,1.445,2026-09-13,2026-09-14,
29adfa02acca:unleaded95,29adfa02acca,unleaded95,1.609,2026-09-13,2026-09-14,
29adfa02acca:unleaded98,29adfa02acca,unleaded98,1.700,2026-09-13,2026-09-14,
2bb2812d2829:diesel,2bb2812d2829,diesel,1.925,2026-09-13,2026-09-14,
2bb2812d2829:heating_oil,2bb2812d2829,heating_oil,1.559,2026-09-13,2026-09-14,
2bb2812d2829:unleaded95,2bb2812d2829,unleaded95,1.665,2026-09-13,2026-09-14,
2bb2812d2829:unleaded98,2bb2812d2829,unleaded98,1.695,2026-09-13,2026-09-14,
